,RCP 2.6 Median,RCP 2.6 Range (low),RCP 2.6 Range (high),RCP 4.5 Median,RCP 4.5 Range (low),RCP 4.5 Range (high),RCP 8.5 Median,RCP 8.5 Range (low),RCP 8.5 Range (high),Year
130,366.65,300.9,460.94,351.78,307.47,461.47,352.42,270.0,475.5,2080
131,389.38,283.15,442.55,382.69,309.95,440.09,406.77,298.3,480.95,2081
132,368.3,305.1,468.51,393.2,329.8,491.35,404.48,338.41,502.72,2082
133,370.65,313.34,481.52,391.02,309.6,461.8,401.94,319.76,505.38,2083
134,363.41,300.89,454.35,358.28,269.61,471.1,381.1,332.51,452.49,2084
135,382.6,316.28,463.34,401.08,295.23,499.34,375.29,331.29,472.72,2085
136,371.21,295.95,449.82,378.71,328.1,462.39,389.35,301.79,494.46,2086
137,373.07,294.42,459.93,350.0,268.14,486.17,405.76,305.12,458.94,2087
138,362.8,275.68,454.26,405.04,323.89,508.26,403.18,279.63,485.04,2088
139,366.42,283.88,450.32,403.02,320.5,496.37,355.65,313.45,459.94,2089
140,358.12,295.98,431.4,389.39,296.28,435.71,385.73,316.6,452.89,2090
141,372.88,298.99,452.42,382.35,299.51,518.73,386.26,284.45,453.18,2091
142,357.96,304.47,442.55,368.97,309.77,455.87,416.53,309.56,553.78,2092
143,395.44,337.17,448.74,422.75,311.84,533.04,378.64,289.82,503.43,2093
144,367.27,295.85,483.2,368.36,305.98,484.31,408.66,298.36,496.74,2094
145,361.15,273.98,457.8,374.44,292.39,526.74,388.15,313.06,460.5,2095
146,338.45,281.54,480.16,401.7,313.04,507.91,371.96,309.73,472.78,2096
147,378.45,313.31,511.54,354.82,279.74,456.37,375.05,289.02,496.29,2097
148,366.73,289.75,429.62,380.23,323.85,496.79,376.75,333.71,431.17,2098
149,371.09,311.06,438.76,376.6,277.29,458.75,404.15,302.67,514.09,2099
150,365.26,298.92,471.47,376.95,321.41,479.74,401.81,279.14,480.02,2100
